"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","lm","u","pressureactual","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.037537999,0.337623,-2.8e-05,0,0.337623,0.001563,0.000124,0.00064099999,0.193084,0.000256,0.33779299,-5.7000001e-05,0,1,0,1.1,0,0
0.037537001,0.60425198,-0.000106,0,0.60425198,0.003125,0.000228,0.001281,0.177889,0.0058929999,0.60454702,-0.000155,0,1,0.0020000001,1.1,0.0020000001,0
0.037533998,0.77149701,-0.000218,0,0.77149701,0.0046870001,0.00034,0.001922,0.176698,0.0063120001,0.77187097,-0.00028000001,0,1,0.0040000002,1.1,0.0040000002,0
0.037528999,0.89156502,-0.000352,0,0.89156502,0.0062500001,0.00044800001,0.002563,0.175006,0.0069019999,0.89199603,-0.00042299999,0,1,0.0060000001,1.1,0.0060000001,0
0.037514001,1.0610141,-0.00066600001,0,1.0610141,0.0093750004,0.00066299998,0.0038439999,0.172416,0.0077869999,1.061523,-0.00075100001,0,1,0.0080000004,1.1,0.0080000004,0
0.037505001,1.125087,-0.000841,0,1.125087,0.010938,0.00076800003,0.0044840002,0.171187,0.0082,1.1256239,-0.00092999998,0,1,0.0099999998,1.1,0.0099999998,0
0.037494998,1.180303,-0.001024,0,1.180303,0.0125,0.000871,0.0051250001,0.16998699,0.0085990001,1.180865,-0.001117,0,1,0.012,1.1,0.012,0
0.037484001,1.228731,-0.001214,0,1.228731,0.014063,0.00097300002,0.0057660001,0.16881201,0.008986,1.229313,-0.001312,0,1,0.014,1.1,0.014,0
0.037457999,1.3105071,-0.0016139999,0,1.3105071,0.017188,0.001174,0.0070469999,0.166529,0.009726,1.311121,-0.001716,0,1,0.016000001,1.1,0.016000001,0
0.037443001,1.34563,-0.001821,0,1.34563,0.018750001,0.001272,0.0076879999,0.165418,0.01008,1.346257,-0.001925,0,1,0.018000001,1.1,0.018000001,0
0.037427001,1.377737,-0.0020320001,0,1.377737,0.020313,0.0013689999,0.0083280001,0.164325,0.010424,1.3783751,-0.002138,0,1,0.02,1.1,0.02,0
0.037390999,1.434602,-0.0024639999,0,1.434602,0.023437999,0.001559,0.0096089998,0.16219001,0.011086,1.435258,-0.002573,0,1,0.022,1.1,0.022,0
0.037372001,1.460003,-0.0026829999,0,1.460003,0.025,0.001652,0.01025,0.161145,0.011404,1.460665,-0.0027940001,0,1,0.024,1.1,0.024,0
0.037351001,1.483712,-0.002905,0,1.483712,0.026563,0.001744,0.010891,0.16011301,0.011715,1.48438,-0.0030159999,0,1,0.026000001,1.1,0.026000001,0
0.037328999,1.5059251,-0.0031280001,0,1.5059251,0.028124999,0.001835,0.011531,0.15909199,0.012019,1.506597,-0.00324,0,1,0.028000001,1.1,0.028000001,0
