"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","tke","epsilon","F1","F2","Fmu","SijSij","lm","u","pressureactual","D","E","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.105312,0.102988,-0.0042960001,0,0.102988,0.001563,0.000179,0.113248,1.292797,1,1,0.200514,3580.0559,0.00065200002,0,0.105312,1.373039,-0.000932,0.12876201,-0.008591,0,1,0,1.1,0,0
0.101077,0.159143,-0.014395,0,0.159143,0.003125,0.000795,0.165867,1.303071,1,1,0.418219,495.45602,0.00239,0,0.101077,0.50275099,-0,0.193966,-0.020199001,0,1,0.0020000001,1.1,0.0020000001,0
0.095670998,0.189757,-0.026573,0,0.189757,0.0046870001,0.001433,0.190676,1.328115,1,1,0.58152401,306.75104,0.0040190001,0,0.095670998,0.25686499,-0,0.228,-0.032947,0,1,0.0040000002,1.1,0.0040000002,0
0.094708003,0.217489,-0.039661001,0,0.217489,0.0062500001,0.00148,0.21021,1.360257,1,1,0.70464098,324.0921,0.0055030002,0,0.094708003,0.159289,-0,0.25777301,-0.046374999,0,1,0.0060000001,1.1,0.0060000001,0
0.093087003,0.283391,-0.067428999,0,0.283391,0.0093750004,0.00148,0.24844299,1.452992,1,1,0.86313498,437.56531,0.0081089996,0,0.093087003,0.083671004,-0,0.32625899,-0.074574001,0,1,0.0080000004,1.1,0.0080000004,0
0.091945998,0.321527,-0.081863001,0,0.321527,0.010938,0.00148,0.266507,1.507696,1,1,0.90956098,494.48242,0.009149,0,0.091945998,0.065941997,-0,0.365262,-0.089152999,0,1,0.0099999998,1.1,0.0099999998,0
0.090580001,0.362753,-0.096547998,0,0.362753,0.0125,0.00148,0.28332701,1.563938,1,1,0.94108897,549.07611,0.010003,0,0.090580001,0.053674001,-0,0.407123,-0.103942,0,1,0.012,1.1,0.012,0
0.088987,0.40678701,-0.111409,0,0.40678701,0.014063,0.00148,0.29858401,1.61906,1,1,0.96200597,600.38855,0.010686,0,0.088987,0.044691999,-0,0.45158699,-0.118876,0,1,0.014,1.1,0.014,0
0.085129999,0.50211602,-0.141422,0,0.50211602,0.017188,0.00148,0.323502,1.7172379,1,1,0.98440099,690.11615,0.011626,0,0.085129999,0.032414999,-0,0.54728198,-0.14895,0,1,0.016000001,1.1,0.016000001,0
0.082873002,0.55283803,-0.15647399,0,0.55283803,0.018750001,0.00148,0.33290401,1.757076,1,1,0.98999101,727.45209,0.011929,0,0.082873002,0.028029,-0,0.59798503,-0.16399901,0,1,0.018000001,1.1,0.018000001,0
