"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.04148,0.044263,4e-06,0,0.044177,0.044177,0.044177,1,0,13,0,0
0.041481,0.13052,2.1e-05,0,0.13027,0.13027,0.13027,1,0.01,13,0.01,0
0.041481,0.21442,5.4e-05,0,0.21402,0.21402,0.21402,1,0.02,13,0.02,0
0.041481,0.29584,0.000102,0,0.29529,0.29529,0.29529,1,0.03,13,0.03,0
0.041482,0.45042,0.000241,0,0.4496,0.4496,0.4496,1,0.04,13,0.04,0
0.041482,0.52309,0.000328,0,0.52216,0.52216,0.52216,1,0.05,13,0.05,0
0.041483,0.59232,0.000426,0,0.5913,0.5913,0.5913,1,0.06,13,0.06,0
0.041483,0.65781,0.000531,0,0.65672,0.65672,0.65672,1,0.07,13,0.07,0
0.041484,0.77657,0.000758,0,0.77541,0.77541,0.77541,1,0.08,13,0.08,0
0.041484,0.8294,0.000873,0,0.82824,0.82824,0.82824,1,0.09,13,0.09,0
0.041485,0.87766,0.000988,0,0.87653,0.87653,0.87653,1,0.1,13,0.1,0
0.041486,0.96026,0.001202,0,0.95925,0.95925,0.95925,1,0.11,13,0.11,0
0.041487,0.99468,0.001298,0,0.99376,0.99376,0.99376,1,0.12,13,0.12,0
0.041487,1.0247,0.001385,0,1.0239,1.0239,1.0239,1,0.13,13,0.13,0
0.041488,1.0506,0.00146,0,1.0499,1.0499,1.0499,1,0.14,13,0.14,0
0.041489,1.0909,0.001576,0,1.0904,1.0904,1.0904,1,0.15,13,0.15,0
0.04149,1.106,0.001615,0,1.1057,1.1057,1.1057,1,0.16,13,0.16,0
0.041491,1.1183,0.001643,0,1.118,1.118,1.118,1,0.17,13,0.17,0
0.041492,1.1356,0.001666,0,1.1356,1.1356,1.1356,1,0.18,13,0.18,0
0.041493,1.1415,0.001664,0,1.1415,1.1415,1.1415,1,0.19,13,0.19,0
0.041493,1.1458,0.001652,0,1.1459,1.1459,1.1459,1,0.2,13,0.2,0
0.041494,1.1489,0.001634,0,1.1491,1.1491,1.1491,1,0.21,13,0.21,0
0.041495,1.1524,0.001581,0,1.1527,1.1527,1.1527,1,0.22,13,0.22,0
0.041496,1.1532,0.001548,0,1.1535,1.1535,1.1535,1,0.23,13,0.23,0
0.041497,1.1535,0.001511,0,1.1539,1.1539,1.1539,1,0.24,13,0.24,0
0.041497,1.1536,0.001472,0,1.154,1.154,1.154,1,0.25,13,0.25,0
0.041498,1.153,0.001389,0,1.1535,1.1535,1.1535,1,0.26,13,0.26,0
0.041499,1.1526,0.001345,0,1.153,1.153,1.153,1,0.27,13,0.27,0
0.041499,1.152,0.001301,0,1.1525,1.1525,1.1525,1,0.28,13,0.28,0
0.0415,1.1509,0.00121,0,1.1514,1.1514,1.1514,1,0.29,13,0.29,0
0.041501,1.1504,0.001165,0,1.1508,1.1508,1.1508,1,0.3,13,0.3,0
0.041501,1.1498,0.001119,0,1.1503,1.1503,1.1503,1,0.31,13,0.31,0
0.041502,1.1493,0.001073,0,1.1498,1.1498,1.1498,1,0.32,13,0.32,0
0.041503,1.1484,0.000981,0,1.1488,1.1488,1.1488,1,0.33,13,0.33,0
0.041503,1.1479,0.000935,0,1.1484,1.1484,1.1484,1,0.34,13,0.34,0
0.041503,1.1475,0.000889,0,1.148,1.148,1.148,1,0.35,13,0.35,0
0.041504,1.1468,0.000798,0,1.1472,1.1472,1.1472,1,0.36,13,0.36,0
0.041504,1.1464,0.000752,0,1.1469,1.1469,1.1469,1,0.37,13,0.37,0
0.041505,1.1461,0.000706,0,1.1466,1.1466,1.1466,1,0.38,13,0.38,0
0.041505,1.1458,0.00066,0,1.1463,1.1463,1.1463,1,0.39,13,0.39,0
0.041505,1.1453,0.000569,0,1.1458,1.1458,1.1458,1,0.4,13,0.4,0
0.041506,1.1451,0.000524,0,1.1456,1.1456,1.1456,1,0.41,13,0.41,0
0.041506,1.1449,0.000478,0,1.1454,1.1454,1.1454,1,0.42,13,0.42,0
0.041506,1.1446,0.000387,0,1.145,1.145,1.145,1,0.43,13,0.43,0
0.041506,1.1444,0.000341,0,1.1449,1.1449,1.1449,1,0.44,13,0.44,0
0.041507,1.1443,0.000296,0,1.1448,1.1448,1.1448,1,0.45,13,0.45,0
0.041507,1.1442,0.00025,0,1.1447,1.1447,1.1447,1,0.46,13,0.46,0
0.041507,1.1441,0.000159,0,1.1445,1.1445,1.1445,1,0.47,13,0.47,0
0.041507,1.144,0.000114,0,1.1445,1.1445,1.1445,1,0.48,13,0.48,0
0.041507,1.144,6.8e-05,0,1.1444,1.1444,1.1444,1,0.49,13,0.49,0
0.041507,1.144,-2.3e-05,0,1.1444,1.1444,1.1444,1,0.5,13,0.5,0
0.041507,1.144,-6.8e-05,0,1.1444,1.1444,1.1444,1,0.51,13,0.51,0
0.041507,1.144,-0.000114,0,1.1445,1.1445,1.1445,1,0.52,13,0.52,0
0.041507,1.1441,-0.000159,0,1.1445,1.1445,1.1445,1,0.53,13,0.53,0
0.041507,1.1442,-0.00025,0,1.1447,1.1447,1.1447,1,0.54,13,0.54,0
0.041507,1.1443,-0.000296,0,1.1448,1.1448,1.1448,1,0.55,13,0.55,0
0.041506,1.1444,-0.000341,0,1.1449,1.1449,1.1449,1,0.56,13,0.56,0
0.041506,1.1446,-0.000387,0,1.145,1.145,1.145,1,0.57,13,0.57,0
0.041506,1.1449,-0.000478,0,1.1454,1.1454,1.1454,1,0.58,13,0.58,0
0.041506,1.1451,-0.000524,0,1.1456,1.1456,1.1456,1,0.59,13,0.59,0
0.041505,1.1453,-0.000569,0,1.1458,1.1458,1.1458,1,0.6,13,0.6,0
0.041505,1.1458,-0.00066,0,1.1463,1.1463,1.1463,1,0.61,13,0.61,0
0.041505,1.1461,-0.000706,0,1.1466,1.1466,1.1466,1,0.62,13,0.62,0
0.041504,1.1464,-0.000752,0,1.1469,1.1469,1.1469,1,0.63,13,0.63,0
0.041504,1.1468,-0.000798,0,1.1472,1.1472,1.1472,1,0.64,13,0.64,0
0.041503,1.1475,-0.000889,0,1.148,1.148,1.148,1,0.65,13,0.65,0
0.041503,1.1479,-0.000935,0,1.1484,1.1484,1.1484,1,0.66,13,0.66,0
0.041503,1.1484,-0.000981,0,1.1488,1.1488,1.1488,1,0.67,13,0.67,0
0.041502,1.1493,-0.001073,0,1.1498,1.1498,1.1498,1,0.68,13,0.68,0
0.041501,1.1498,-0.001119,0,1.1503,1.1503,1.1503,1,0.69,13,0.69,0
0.041501,1.1504,-0.001165,0,1.1508,1.1508,1.1508,1,0.7,13,0.7,0
0.0415,1.1509,-0.00121,0,1.1514,1.1514,1.1514,1,0.71,13,0.71,0
0.041499,1.152,-0.001301,0,1.1525,1.1525,1.1525,1,0.72,13,0.72,0
0.041499,1.1526,-0.001345,0,1.153,1.153,1.153,1,0.73,13,0.73,0
0.041498,1.153,-0.001389,0,1.1535,1.1535,1.1535,1,0.74,13,0.74,0
0.041498,1.1534,-0.001431,0,1.1538,1.1538,1.1538,1,0.75,13,0.75,0
0.041497,1.1535,-0.001511,0,1.1539,1.1539,1.1539,1,0.76,13,0.76,0
0.041496,1.1532,-0.001548,0,1.1535,1.1535,1.1535,1,0.77,13,0.77,0
