"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.001953,0.070938,-0.000401,0,0.003906,7.8e-05,0.001602,0.048916,-0.00044,0.072542,0.072542,0.072542,1,0,16,0,0
0.000965,0.23576,-0.003146,0,0.011719,0.00035,0.004805,0.072932,-0.004354,0.23891,0.23891,0.23891,1,0.01,16,0.01,0
4.5e-05,0.36363,-0.006143,0,0.023438,0.000738,0.009609,0.076761,-0.005847,0.36449,0.36449,0.36449,1,0.02,16,0.02,0
-0.000122,0.41943,-0.006549,0,0.03125,0.000989,0.012812,0.077204,-0.006082,0.41947,0.41947,0.41947,1,0.03,16,0.03,0
-0.000156,0.48219,-0.006277,0,0.042969,0.001359,0.017617,0.07713,-0.006105,0.48189,0.48189,0.48189,1,0.04,16,0.04,0
-0.000146,0.51533,-0.005966,0,0.050781,0.0016,0.02082,0.076856,-0.006053,0.51502,0.51502,0.51502,1,0.05,16,0.05,0
-0.000135,0.55719,-0.005535,0,0.0625,0.001795,0.023615,0.075991,-0.00591,0.55693,0.55693,0.55693,1,0.06,16,0.06,0
-0.000129,0.58378,-0.005282,0,0.070312,0.001779,0.023615,0.07534,-0.005805,0.58354,0.58354,0.58354,1,0.07,16,0.07,0
-0.000124,0.62304,-0.004933,0,0.082031,0.001755,0.023615,0.074327,-0.005648,0.62281,0.62281,0.62281,1,0.08,16,0.08,0
-0.000116,0.66164,-0.004589,0,0.09375,0.001731,0.023615,0.073304,-0.005489,0.66141,0.66141,0.66141,1,0.09,16,0.09,0
-0.000108,0.68699,-0.004358,0,0.10156,0.001714,0.023615,0.072586,-0.005377,0.68676,0.68676,0.68676,1,0.1,16,0.1,0
-9.6e-05,0.72445,-0.004011,0,0.11328,0.001687,0.023615,0.07144,-0.0052,0.72422,0.72422,0.72422,1,0.11,16,0.11,0
-8.7e-05,0.74902,-0.003782,0,0.12109,0.001668,0.023615,0.070626,-0.005075,0.74879,0.74879,0.74879,1,0.12,16,0.12,0
-7.4e-05,0.78526,-0.003445,0,0.13281,0.001637,0.023615,0.06933,-0.004881,0.78503,0.78503,0.78503,1,0.13,16,0.13,0
-6.6e-05,0.80898,-0.003224,0,0.14062,0.001616,0.023615,0.068414,-0.004746,0.80876,0.80876,0.80876,1,0.14,16,0.14,0
-5.3e-05,0.84389,-0.0029,0,0.15234,0.001581,0.023615,0.066961,-0.004537,0.84367,0.84367,0.84367,1,0.15,16,0.15,0
-4.5e-05,0.86669,-0.002689,0,0.16016,0.001557,0.023615,0.065939,-0.004393,0.86648,0.86648,0.86648,1,0.16,16,0.16,0
-3.4e-05,0.90016,-0.002379,0,0.17188,0.001519,0.023615,0.064323,-0.004171,0.89996,0.89996,0.89996,1,0.17,16,0.17,0
-2.3e-05,0.93271,-0.002077,0,0.18359,0.001478,0.023615,0.062607,-0.003942,0.93251,0.93251,0.93251,1,0.18,16,0.18,0
-1.6e-05,0.95387,-0.00188,0,0.19141,0.00145,0.023615,0.061406,-0.003786,0.95368,0.95368,0.95368,1,0.19,16,0.19,0
-6e-06,0.98479,-0.001592,0,0.20312,0.001405,0.023615,0.059518,-0.003548,0.9846,0.9846,0.9846,1,0.2,16,0.2,0
1e-06,1.0048,-0.001404,0,0.21094,0.001374,0.023615,0.0582,-0.003387,1.0046,1.0046,1.0046,1,0.21,16,0.21,0
1e-05,1.034,-0.001129,0,0.22266,0.001326,0.023615,0.056133,-0.003141,1.0338,1.0338,1.0338,1,0.22,16,0.22,0
1.5e-05,1.0528,-0.000951,0,0.23047,0.001292,0.023615,0.054695,-0.002976,1.0526,1.0526,1.0526,1,0.23,16,0.23,0
2.3e-05,1.08,-0.000692,0,0.24219,0.001238,0.023615,0.052443,-0.002727,1.0798,1.0798,1.0798,1,0.24,16,0.24,0
3.1e-05,1.106,-0.000444,0,0.25391,0.001183,0.023615,0.050078,-0.002477,1.1059,1.1059,1.1059,1,0.25,16,0.25,0
3.5e-05,1.1227,-0.000284,0,0.26172,0.001144,0.023615,0.048438,-0.002311,1.1225,1.1225,1.1225,1,0.26,16,0.26,0
4.1e-05,1.1466,-5.5e-05,0,0.27344,0.001084,0.023615,0.045884,-0.002064,1.1464,1.1464,1.1464,1,0.27,16,0.27,0
4.5e-05,1.1617,8.9e-05,0,0.28125,0.001042,0.023615,0.044115,-0.001902,1.1616,1.1616,1.1616,1,0.28,16,0.28,0
5e-05,1.1833,0.000294,0,0.29297,0.000977,0.023615,0.041366,-0.001662,1.1832,1.1832,1.1832,1,0.29,16,0.29,0
5.2e-05,1.1969,0.000422,0,0.30078,0.000932,0.023615,0.03947,-0.001505,1.1968,1.1968,1.1968,1,0.3,16,0.3,0
5.6e-05,1.2161,0.000599,0,0.3125,0.000863,0.023615,0.036529,-0.001278,1.216,1.216,1.216,1,0.31,16,0.31,0
5.8e-05,1.228,0.000706,0,0.32031,0.000815,0.023615,0.034506,-0.001133,1.2279,1.2279,1.2279,1,0.32,16,0.32,0
6e-05,1.2446,0.00085,0,0.33203,0.000741,0.023615,0.03138,-0.000924,1.2445,1.2445,1.2445,1,0.33,16,0.33,0
6.2e-05,1.2595,0.00097,0,0.34375,0.000665,0.023615,0.028148,-0.00073,1.2594,1.2594,1.2594,1,0.34,16,0.34,0
6.3e-05,1.2686,0.001037,0,0.35156,0.000613,0.023615,0.025939,-0.00061,1.2685,1.2685,1.2685,1,0.35,16,0.35,0
6.3e-05,1.2807,0.001114,0,0.36328,0.000533,0.023615,0.022554,-0.000446,1.2807,1.2807,1.2807,1,0.36,16,0.36,0
6.2e-05,1.2878,0.00115,0,0.37109,0.000478,0.023615,0.020255,-0.000348,1.2878,1.2878,1.2878,1,0.37,16,0.37,0
6.1e-05,1.2971,0.001178,0,0.38281,0.000396,0.023615,0.016765,-0.00022,1.2971,1.2971,1.2971,1,0.38,16,0.38,0
6e-05,1.3023,0.001179,0,0.39062,0.000341,0.023615,0.014427,-0.000148,1.3023,1.3023,1.3023,1,0.39,16,0.39,0
5.7e-05,1.3086,0.001153,0,0.40234,0.000258,0.023615,0.010945,-6.2e-05,1.3086,1.3086,1.3086,1,0.4,16,0.4,0
5.5e-05,1.3119,0.001116,0,0.41016,0.000205,0.023615,0.008683,-2e-05,1.3119,1.3119,1.3119,1,0.41,16,0.41,0
